title,description,section,link_label,url,resource_type,visibility,quick_action,published,sort_order
Support worker checklist,"Booking, expenses, coding, holiday pay, and internal checklists.",Admin,Support worker checklist,assets/documents/support-workers/Support-worker-checklist-Feb-2021.pdf,document,staff,false,true,1240
New support worker guide,"Booking, expenses, coding, holiday pay, and internal checklists.",Admin,New support worker guide,assets/documents/support-workers/Support-Worker-guide-09.20.docx,document,staff,false,true,1250
Time Specialist Support policies,"Booking, expenses, coding, holiday pay, and internal checklists.",Admin,Time Specialist Support policies,policies.html,page,staff,true,true,1260
Extra e-learning modules,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Training,Extra e-learning modules,extra-elearning.html,page,staff,false,true,1270
Orientation e-learning modules,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Training,Orientation e-learning modules,orientation-elearning.html,page,staff,false,true,1280
Guide to CADS,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Training,Guide to CADS,assets/documents/support-workers/Your-Guide-to-CADS.pdf,document,staff,false,true,1290
Introduction to Positive Behaviour Support,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Training,Introduction to Positive Behaviour Support,https://www.bild.org.uk/resources/positive-behaviour-support/,link,staff,false,true,1300
British Red Cross first aid app,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Training,British Red Cross first aid app,https://www.redcross.org.uk/first-aid/first-aid-apps#app,link,staff,false,true,1310
Epilepsy in schools - tonic seizure,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Training,Epilepsy in schools - tonic seizure,https://www.youtube.com/watch?v=pjmDY3tR6ak,video,staff,false,true,1320
Epilepsy in schools - tonic clonic seizure,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Training,Epilepsy in schools - tonic clonic seizure,https://www.youtube.com/watch?v=olArThAgUd8,video,staff,false,true,1330
Other ways of speaking,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Training,Other ways of speaking,assets/documents/support-workers/other_ways_of_speaking_final.pdf,document,staff,false,true,1340
5 good communication standards,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Training,5 good communication standards,assets/documents/support-workers/RCSLT-Good-standards-v-8-Nov-13.pdf,document,staff,false,true,1350
Luke Beardon presentation video,"Training modules, CADS guidance, first aid, epilepsy, communication, and PBS resources.",Training,Luke Beardon presentation video,https://vimeo.com/123744040,video,staff,false,true,1360
Self-injurious quicklook factsheet,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Self-injurious quicklook factsheet,assets/documents/support-workers/Self-injurious-quicklook-factsheet-2013-v21.pdf,document,staff,false,true,1370
Self-injurious behaviour full briefing,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Self-injurious behaviour full briefing,assets/documents/support-workers/Self-injurious-behaviour-full-briefing.pdf,document,staff,false,true,1380
Pamphlet for commissioners - children,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Pamphlet for commissioners - children,assets/documents/support-workers/Pamphlet-for-Commissioners_Children.pdf,document,staff,false,true,1390
Moss and Oliver ASD genetic conditions Cerebra,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Moss and Oliver ASD genetic conditions Cerebra,assets/documents/support-workers/Moss-and-Oliver-ASD-genetic-conditions-Cerebra.pdf,document,staff,false,true,1400
Management of abusive difficult and violent patients,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Management of abusive difficult and violent patients,assets/documents/support-workers/Management_of_Abusive_Difficult_and_Violent_Patients_20100502.pdf,document,staff,false,true,1410
FLACC infographic,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,FLACC infographic,assets/documents/support-workers/FLACC-Infographic_V5.pdf,document,staff,false,true,1420
CBF Challenge briefing,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,CBF Challenge briefing,assets/documents/support-workers/CBF-Challenge-Winter-2014-Final-Web.pdf,document,staff,false,true,1430
Autism Quotient test,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Autism Quotient test,assets/documents/support-workers/AQ.doc,document,staff,false,true,1440
Autism Quotient scoring key,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Autism Quotient scoring key,assets/documents/support-workers/AQ_Scoring_Key.doc,document,staff,false,true,1450
Understanding challenging behaviour - part 1,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Understanding challenging behaviour - part 1,assets/documents/support-workers/01-Understanding-Challenging-Behaviour-Part-1-web-1.pdf,document,staff,false,true,1460
Finding the causes of challenging behaviour - part 2,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Finding the causes of challenging behaviour - part 2,assets/documents/support-workers/02-Finding-the-Causes-of-Challenging-Behaviour-Part-2-web.pdf,document,staff,false,true,1470
Positive Behaviour Support planning - part 3,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Positive Behaviour Support planning - part 3,assets/documents/support-workers/03-Positive-Behaviour-Support-Planning-Part-3-web-2014.pdf,document,staff,false,true,1480
Communication information sheet,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Communication information sheet,assets/documents/support-workers/04-Communication-Information-sheet-web.pdf,document,staff,false,true,1490
Luke Beardon sensory framework,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Luke Beardon sensory framework,assets/documents/support-workers/Luke-Beardon-SENSORY-FRAMEWORK.docx,document,staff,false,true,1500
Luke Beardon mythbusting,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Luke Beardon mythbusting,assets/documents/support-workers/Luke-Beardon-Mythbusting.pdf,document,staff,false,true,1510
Objects of reference handout,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Objects of reference handout,assets/documents/support-workers/Objects-of-Reference-handout.pdf,document,staff,false,true,1520
Phoebe Caldwell - Intensive Interaction,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Phoebe Caldwell - Intensive Interaction,assets/documents/support-workers/Phoebe-Caldwell-Intensive-Interaction.pdf,document,staff,false,true,1530
Temple Grandin - solving behaviour problems,"Longer reference documents for autism, communication, sensory needs, and behaviour support.",Reference,Temple Grandin - solving behaviour problems,assets/documents/support-workers/Temple-Grandin-Solving-Behaviour-Problems-in-Nonverbal-Individuals-with-Autism.pdf,document,staff,false,true,1540
Watch the visual support video,Video guidance restored from the original worker resources.,Visual support,Watch the visual support video,https://www.youtube.com/watch?v=R9x0XimC32M,video,staff,false,true,1550
